"","V1","V2","V3"
"Chr02_00900419",0,0,0
"Chr02_01850744",0,0,0
"Chr02_02273099",0,0,0
"Chr02_02387768",0,0,0
"Chr02_02480187",0,0,0
"Chr02_03217646",0,0,0
"Chr02_03219305",0,0,0
"Chr02_03271876",0,0,0
"Chr02_03656733",0,0,0
"Chr02_03767436",0,0,0
"Chr02_03863702",0,0,0
"Chr02_04186820",0,0,0
"Chr02_04190189",0,0,0
"Chr02_04236719",0,0,0
"Chr02_04303075",0,0,0
"Chr02_04325348",0,0,0
"Chr02_04609309",0,0,0
"Chr02_04695123",0,0,-0.12970793846707
"Chr02_04945408",0,0,0
"Chr02_04985356",0,0,0
"Chr02_04988523",-0.0100031899497758,0,0
"Chr02_05013647",-0.226313372496163,0,0
"Chr02_05026965",0,0.0337667733040646,0
"Chr02_05141745",0,0,0
"Chr02_05169113",0,0,0
"Chr02_05183247",0,0,0
"Chr02_05414221",0,0,0
"Chr02_05595388",0,0,0.131337098249297
"Chr02_05654643",0,0,0
"Chr02_05744741",0,0,0
"Chr02_05885075",0,0,0
"Chr02_05897663",0,0,0
"Chr02_05912917",0,0,0
"Chr02_05962938",0,0,0
"Chr02_06017275",0,0,0
"Chr02_06038218",0,0,-0.242965683599526
"Chr02_06235097",0,0,0
"Chr02_06252260",0,0,0
"Chr02_06349200",0,0,0
"Chr02_06427774",0,0,0
"Chr02_06594352",0,0,0
"Chr02_06618953",0,0,0
"Chr02_06884002",0,0,0
"Chr02_06913789",0.0218642946606734,0,0
"Chr02_06960298",0,0,0
"Chr02_07059140",0,0,0
"Chr02_07128210",0,0,0
"Chr02_07136869",0,0,0
"Chr02_07160962",0,0,0
"Chr02_07163885",0,0,0
"Chr02_07216892",0,0,0
"Chr02_07229526",0,0,0
"Chr02_07523803",0,0,0
"Chr02_07940039",0,0,0
"Chr02_08183951",0,0,0
"Chr02_08205082",0,0,0
"Chr02_08440104",0,0,0
"Chr02_08465239",-0.020833844543198,0,0
"Chr02_08785617",0,0,0
"Chr02_09315642",0,0,0
"Chr02_09316790",0,0,0
"Chr02_09456274",0,0,0
"Chr02_09601301",0,0,0
"Chr02_09698794",0,0,0
"Chr02_09966567",0,0,0
"Chr02_10031386",0,0,0
"Chr02_10090434",0,0,0
"Chr02_10102649",0,0,0
"Chr02_10136828",0,0,0
"Chr02_10290733",0,0,0
"Chr02_10324498",-0.189905091376548,0,0
"Chr02_10608005",0,0.190763871175017,0
"Chr02_10630134",0,0,0
"Chr02_10947322",0,0,0
"Chr02_10961508",0,0,0
"Chr02_11008640",0,0,0
"Chr02_11331032",0.0418564639134654,0,0
"Chr02_11345816",0,0,0
"Chr02_11384395",0,0,0
"Chr02_11673536",0,0,0
"Chr02_11932814",0,0,0
"Chr02_11936070",0,0,-0.037360959477725
"Chr02_11950345",0,0,0
"Chr02_12167895",0,0,0
"Chr02_12218462",0,0,0
"Chr02_12382716",-0.0361652319633005,0,0
"Chr02_12433721",0.119988659317372,0,0
"Chr02_12480059",0,0,0
"Chr02_12766052",0,0,0
"Chr02_13012460",0,0,0
"Chr02_13126684",0,0,0
"Chr02_13406019",0,0,0
"Chr02_13592578",0,0,0
"Chr02_13595863",0,0,0
"Chr02_13753669",0,0,0
"Chr02_13796414",0,0,0
"Chr02_13851450",0,0,0
"Chr02_13978058",0,0,0
"Chr02_13998100",0,0,0
"Chr02_14014397",0,-0.0283464741867579,0
"Chr02_14057660",0,0,0
"Chr02_14060769",0,0,0
"Chr02_14136399",0,0,0
"Chr02_14209833",0,0,0
"Chr02_14266435",0,0,0
"Chr02_14428891",0,0,0
"Chr02_14689314",0,0,0
"Chr02_14709464",0,0,0
"Chr02_14727653",0,0,0
"Chr02_14791072",0,0,0
"Chr02_14855326",0,0,0
"Chr02_14876179",0,0,0
"Chr02_15025447",0,0,0
"Chr02_15406294",0,0,0.0258309742251891
"Chr02_15435172",0,0,0
"Chr02_15494530",0,0,0
"Chr02_15504950",0,0,0
"Chr02_15526759",0,0.13082409778506,0
"Chr02_15598894",0,-0.104489299936348,0
"Chr02_15704672",0,0,0
"Chr02_15798923",0,0,0
"Chr02_16096448",0,0,0
"Chr02_18783061",0,0,0
"Chr02_19388477",0,0.210548666904577,0
"Chr02_21482990",0,0,0
"Chr02_21785337",0,0,0
"Chr02_23500763",0,0,0
"Chr02_24731250",0,0,0
"Chr02_31222047",0,0,-0.204372656851557
"Chr02_32758957",0,0,0
"Chr02_33107780",0,0.0523860227879236,0
"Chr02_36462175",0,0,0
"Chr02_36597631",0,0,0
"Chr02_36847607",-0.182543813763735,0,0
"Chr02_37265954",0,0,0
"Chr02_38885164",0,0,0
"Chr02_38983644",0,0.124624896831637,0
"Chr02_38991212",0,0.00148048938642965,0
"Chr02_39121116",0,0,0
"Chr02_39394742",0,0,0
"Chr02_39441152",0,0,0
"Chr02_39753592",0,0,0
"Chr02_39808800",0,0.227382812950727,0
"Chr02_39995986",0,0,0
"Chr02_40185325",0,0,0.123130814503334
"Chr02_40258712",0,0,-0.0129382744390573
"Chr02_40585878",0,0,0
"Chr02_40871203",0,0,0
"Chr02_40951126",0,0,0
"Chr02_41294994",0,0,0
"Chr02_41336419",0,0,0
"Chr02_41340292",0,0,0
"Chr02_41381391",0,0,0
"Chr02_41421888",0,0,0
"Chr02_41692880",0,0,0
"Chr02_42422647",0,0,0
"Chr02_42428125",0.114866912347309,0,0
"Chr02_42471346",0,0,0
"Chr02_42549073",0,0,0
"Chr02_42750567",0,0,0
"Chr02_43002040",0,0,0
"Chr02_43511079",0,0,0
"Chr02_43890036",0,0,0
"Chr02_44311675",0,0,0
"Chr02_44522700",0,0,0
"Chr02_44658280",0,0,0
"Chr02_45119506",0,0,0
"Chr02_45180944",0,0,0.000977551545942789
"Chr02_45509735",0,0,0
"Chr02_45662767",0,0,-0.203399359897076
"Chr02_45915651",0,0,0
"Chr02_45929302",0,0,0
"Chr02_45978555",0,0,0
"Chr02_46127769",0,0,0
"Chr02_46252420",0,0,0
"Chr02_46319428",0,0,0
"Chr02_46511330",0,0,0
"Chr02_46604023",0,0,0
"Chr02_46917310",0,0,0
"Chr02_47015392",0,0,0
"Chr02_47020231",0,0,0
"Chr02_47037070",0,0,0
"Chr02_47207919",0,0,0
"Chr02_47329469",0,0,0
"Chr02_47447538",0,0,0
"Chr02_47677433",0,0,0
"Chr02_47678249",0,0,0
"Chr02_47739099",0,0,0
"Chr02_47871234",0,0,0
"Chr02_48173696",0,0,0
"Chr02_48208621",0,0,0
"Chr02_48294960",0,0,0
"Chr02_48295194",0,0,0
"Chr03_00162171",-0.0317115291451073,0,0
"Chr03_00210594",0,0,0
"Chr03_00213162",0,0,0
"Chr03_00214333",0,0,0
"Chr03_00444016",0,0,0
"Chr03_00545816",0,0,0
"Chr03_00604398",0,0,0
"Chr03_00743456",0,0,0
"Chr03_00953670",0,0,0
"Chr03_01149731",0,0,0
"Chr03_01344175",0.0987562660433039,0,0
"Chr03_01398569",0,0,0
"Chr03_01438966",0,0,0
"Chr03_01787486",0,0,0
"Chr03_01871252",0,-0.0899418725224949,0
"Chr03_01915719",0,0,0
"Chr03_02032101",0,0,0
"Chr03_02059119",0,0,0
"Chr03_02092345",0,0,0
"Chr03_02175640",0,0,-0.140051162909881
"Chr03_02179860",0,0,0
"Chr03_02182511",0,0,0
"Chr03_02200338",0,-0.0731356810912647,0
"Chr03_02268822",0,0,0
"Chr03_02329716",0,0,0
"Chr03_02341638",0,0,0
"Chr03_02395852",0,0,0
"Chr03_02428356",0,0,0
"Chr03_02794924",0,0,0
"Chr03_02801988",0,-0.0844424478859453,0
"Chr03_02846142",0,0,0
"Chr03_02911020",0,0,0
"Chr03_02923693",0,0,0
"Chr03_02939174",0,0,0
"Chr03_02968395",0,0,0
"Chr03_02973188",0,0,0
"Chr03_03018148",0,-0.00562495763590082,0
"Chr03_03031957",0,0,0
"Chr03_03065142",0,0,0.0758112057092237
"Chr03_03118658",0,0,0
"Chr03_03157322",0,0,-0.0510013296350376
"Chr03_03176904",0,0,0
"Chr03_03178665",0,0,0
"Chr03_03233627",0,0,0
"Chr03_03256008",0,0,0
"Chr03_03283422",0,0,0
"Chr03_03359040",0,0,0
"Chr03_03531472",0,0,0
"Chr03_03532631",0,0,0
"Chr03_03662137",0,0,0
"Chr03_03662993",0,0,0
"Chr03_03827595",0,0,-0.0841196254985065
"Chr03_03863679",0,0,0
"Chr03_03957391",0,0,0
"Chr03_03964711",0,0,0
"Chr03_03975438",0,0,0
"Chr03_03988881",0,0,0
"Chr03_04264303",0,0,-0.202247330441426
"Chr03_04289759",0,0,0
"Chr03_04293116",0,0,0
"Chr03_04393667",0,0,0
"Chr03_04413408",0,0,0
"Chr03_04422803",-0.0458797091328603,0,0
"Chr03_04439437",0,0,0
"Chr03_04446130",0,0,0
"Chr03_04467592",0,0,0
"Chr03_04469584",0,0,0
"Chr03_04528387",0,0,0
"Chr03_04530367",0,0,0
"Chr03_04621308",0,0,0
"Chr03_04622629",0,0,0
"Chr03_04623681",0,0,0
"Chr03_04637585",0,0,0
"Chr03_04769193",0,0,0
"Chr03_04944927",0,0,0
"Chr03_04978865",0,0,0
"Chr03_05009451",0,0,0
"Chr03_05176745",0,0,0
"Chr03_05182920",0,0,0
"Chr03_05198410",0,0,0
"Chr03_05201347",0,-0.00401562526824769,0
"Chr03_05202341",0,0,0
"Chr03_05236340",0,0,0
"Chr03_05360780",0,0,0
"Chr03_05368979",0,0,0
"Chr03_05387982",-0.0182304300557758,0,0
"Chr03_05601235",0,0,0
"Chr03_05601398",0,0,0
"Chr03_05620679",0,0,0
"Chr03_05624329",0,0,0
"Chr03_05625435",0,0,0
"Chr03_05647887",0,0,0
"Chr03_05666116",0,0,0
"Chr03_05822446",0,0,0
"Chr03_05840943",0,0,0
"Chr03_05989988",0,0,0
"Chr03_05994248",0,-0.0214585957156868,0
"Chr03_05995243",0,0,0
"Chr03_05999924",0,0,0
"Chr03_06138920",0,0,0
"Chr03_06251511",0,0,0
"Chr03_06266039",0,0,0
"Chr03_06380203",0,0,0
"Chr03_06381405",-0.0506187045881524,0,0
"Chr03_06397550",0,0,-0.0685198301280384
"Chr03_06451800",0,0,0.15034106640022
"Chr03_06453336",0,0,0
"Chr03_06459032",0,0,0
"Chr03_06530200",0,0,0
"Chr03_06533192",0,0,0
"Chr03_06538007",0,0,0
"Chr03_06541009",0,0,0
"Chr03_06544720",0,0,0
"Chr03_06669833",0,0,0
"Chr03_06837659",0,0,0
"Chr03_06912166",0,0,0
"Chr03_09080718",0,0,0
"Chr03_12294440",0,0,0
"Chr03_13210055",0,0,0
"Chr03_13719080",-0.194599023203428,0,0
"Chr03_13806682",0,0,0
"Chr03_15369786",0,0,0
"Chr03_16946871",0,0,0
"Chr03_18481403",0.0503347749285782,0,0
"Chr03_18563687",0,0,0
"Chr03_19344913",0,0,0
"Chr03_19812312",0,0,0
"Chr03_19855391",0,0,0
"Chr03_22245512",0,0,0
"Chr03_23088884",0,0,0
"Chr03_23381236",-0.357538757675361,0,0
"Chr03_24184208",0,0,0
"Chr03_24448986",0,0,0
"Chr03_24894457",0,0,0
"Chr03_26293384",0,0,0
"Chr03_26345456",0,0,0
"Chr03_26627673",0,0,0
"Chr03_29079193",0,0,0
"Chr03_30308722",0,0,0
"Chr03_30309376",0,0,0
"Chr03_30794851",0,0,0
"Chr03_32440971",0,0,0
"Chr03_32679024",0,0,0.103152232055333
"Chr03_32727106",0,0,0
"Chr03_33181270",0,0,0
"Chr03_33350916",0,0,0
"Chr03_33509525",0,-0.111316783607911,0
"Chr03_33525823",0,-0.0507715821738532,0
"Chr03_33909938",0,0,0
"Chr03_33953902",0,0,0
"Chr03_34263835",0,0,0
"Chr03_34329443",0,0,0
"Chr03_34360212",0,0,0
"Chr03_34483984",0,0,0
"Chr03_34582523",0,0,0
"Chr03_35096888",0,0,0
"Chr03_35244644",0,0,0
"Chr03_35266264",0,0,0
"Chr03_35337682",0,0,0
"Chr03_35355274",0,0,0
"Chr03_35374438",0,0,0
"Chr03_35420684",0,0,0
"Chr03_35717147",0.132154019530696,0,0
"Chr03_36043266",0,0,0
"Chr03_36459319",0,0,0
"Chr03_36517202",0,0,0
"Chr03_36517778",0,0,0
"Chr03_36768887",0,0,0
"Chr03_37229194",0,0,0
"Chr03_37733382",0,0,0
"Chr03_37832346",0,0,0
"Chr03_38016747",0,-0.0170850599820508,0
"Chr03_38131942",0,0,0
"Chr03_38317332",0,0,0
"Chr03_38680824",0,0,0
"Chr03_38706734",0,0,0
"Chr03_38812134",0,0,0
"Chr03_38827060",0,0,0
"Chr03_38868515",0,0,0
"Chr03_39041081",0,0,0
"Chr03_39278381",0,0,0
"Chr03_39303164",0,0,0
"Chr03_39330480",0,0,0.0883876544351423
"Chr03_39332865",0,0,0
"Chr03_39512113",0,0,0
"Chr03_39777911",0,0,0
"Chr03_39889423",0,0,0
"Chr03_39976013",0,0,0
"Chr03_40032803",0,0,0
"Chr03_40878707",0,0,0
"Chr03_41625069",0,0,0
"Chr03_41985088",-0.0916922152985257,0,0
"Chr03_42697705",0,0,0.0698450816681144
"Chr03_42929655",0,0,0
"Chr03_43325026",0,0,0
"Chr03_43858625",0,0.093693706466289,0
"Chr03_44076751",0,0,0
"Chr03_44356294",0,0,0
"Chr03_45602028",0,0,0
"Chr03_45657574",0,0,0
"Chr04_00077124",0,-0.156140491701986,0
"Chr04_00196509",0,0,0
"Chr04_00601047",0,0,0
"Chr04_00917584",0,0,0
"Chr04_01189666",0,0,0
"Chr04_01305036",0,0,0
"Chr04_01310856",0,0,0.227645468161674
"Chr04_01364082",0,0,0
"Chr04_01992003",0,0,0
"Chr04_02186040",0,0,0
"Chr04_02703393",0.0395162971948889,0,0
"Chr04_03666285",0,0,0
"Chr04_03958331",0,0,0
"Chr04_04033100",0,0,0
"Chr04_04033504",0,0,0
"Chr04_04413181",0,0.0699342675340943,0
"Chr04_04501137",0,0,0
"Chr04_05017067",0,0,0
"Chr04_05034621",0,0,0
"Chr04_05102542",0,0,0
"Chr04_05242516",0,0.111793646384975,0
"Chr04_05351763",0,0,-0.00610456207279932
"Chr04_05635984",0,0,0
"Chr04_05652254",0,0,0
"Chr04_05840396",0,0,0
"Chr04_05854951",0,0,0
"Chr04_06126665",0,0,0
"Chr04_06494905",-0.202976133344835,0,0
"Chr04_06513553",0,0,0
"Chr04_06533304",0,0,0
"Chr04_07135358",0,0,0
"Chr04_07233913",0,0,0
"Chr04_07308938",0,0,0
"Chr04_07340842",0,0,0
"Chr04_08088543",0,0,0
"Chr04_08267321",0,0,-0.194646422212286
"Chr04_08274639",0,0,0
"Chr04_08274805",0,0,0
"Chr04_08354244",0,0,0
"Chr04_08844142",0,0,0
"Chr04_08910219",0,0,0
"Chr04_08913414",0,0,0
"Chr04_09090572",0.283406375070943,0,0
"Chr04_09099820",0,0,0
"Chr04_09101204",0.00494039869289084,0,0
"Chr04_09106520",0,0,0
"Chr04_09174747",0,0,0
"Chr04_09196273",0,0,0
"Chr04_09485296",0,0,0
"Chr04_09563765",0,0,0
"Chr04_09565472",0,0,0
"Chr04_09801796",0,0,0
"Chr04_10226005",0,0,0
"Chr04_11377391",0,0,0.024914963053714
"Chr04_11417423",0,0,0
"Chr04_11432653",0,0,0
"Chr04_11494397",0,0,0
"Chr04_11567080",0,0,0
"Chr04_12582236",0,0,0
"Chr04_12608717",0,0,0
"Chr04_12729520",0,0,-0.00317343106387049
"Chr04_12916861",0,0,0
"Chr04_12947713",0,0,0
"Chr04_13113282",0,0,0
"Chr04_13160717",0,0,0
"Chr04_13264882",0,0,0
"Chr04_13734188",0,0,0
"Chr04_14764565",0,0,0
"Chr04_15163588",0,0,0.209649451939097
"Chr04_15826687",0,0,0
"Chr04_15834673",0,0,0
"Chr04_16010467",0,0.0173975371624513,0
"Chr04_16293107",0,0,0
"Chr04_16437714",0,0,0
"Chr04_16893772",0,0,0
"Chr04_16897383",0,0,0
"Chr04_17353668",0,0,0
"Chr04_17783711",0,0,0.249148081228614
"Chr04_17997122",0,0,0
"Chr04_18440274",0,0,0
"Chr04_18912852",0,0,0
"Chr04_18991367",0,0,0
"Chr04_19630652",0,0,0
"Chr04_19664644",0,0,0
"Chr04_19969458",0,0,0
"Chr04_20111890",0,0,0
"Chr04_20449928",0,0.511630531222749,0
"Chr04_20798120",0,0,0
"Chr04_24749520",0,0,0
"Chr04_25393976",0,0,0
"Chr04_25640911",0,0,0
"Chr04_26547739",0,0,0
"Chr04_26568510",0,0,0
"Chr04_26789537",0,0,0
"Chr04_27181684",0,0,0
"Chr04_27282668",0,0,0
"Chr04_28660835",0,0,0
"Chr04_31296534",0,0,0
"Chr04_32768267",0,0,0
"Chr04_33130510",0.217874226871757,0,0
"Chr04_33238745",0,0,0
"Chr04_33366318",0,0,0
"Chr04_33758336",0,0,0
"Chr04_33770370",0,0,0
"Chr04_34732837",0,0,0.462245695213373
"Chr04_35254733",0,0,0
"Chr04_35331714",0,0,0
"Chr04_35755498",0,0,0
"Chr04_37130536",0,0,0
"Chr04_37650487",0,0,0
"Chr04_38046210",0,0,0
"Chr04_39041015",0,0,0
"Chr04_39303583",0,0,0
"Chr04_39920160",0,0,0
"Chr04_40142988",0,0,0
"Chr04_40283402",0,0,0
"Chr04_40446590",0,0,0
"Chr04_40467138",0,0,0
"Chr04_41492080",0,0,0
"Chr04_41924895",0,0,0
"Chr04_42359864",0,0,0
"Chr04_43610113",0,0,0
"Chr04_44173593",0,0,0
"Chr04_44636559",0,0,0
"Chr04_44699097",0,0,0
"Chr04_45008084",0,0,0
"Chr04_45389778",0,0,0
"Chr04_45573856",0,0,0
"Chr04_45836181",0,0,0
"Chr04_45883422",0,0,0
"Chr04_45956778",-0.0713621517356197,0,0
"Chr04_46014341",0,0.0293491729040022,0
"Chr04_46065500",0,0.00619827095151982,0
"Chr04_46179453",0,0,0
"Chr04_46199779",0,0,0
"Chr04_46271259",0,0.0865132564209423,0
"Chr04_46302690",0,0,0
"Chr04_46490306",0,0,0
"Chr04_46583556",0.0341200545382917,0,0
"Chr04_46757902",0,0,0
"Chr04_46759626",0,0.3120310165167,0
"Chr04_46783964",0,0,0
"Chr04_46891363",0,0,0
"Chr04_46891881",0,0,0
"Chr04_46955393",-0.031820276904275,0,0
"Chr04_46965210",0,0,0
"Chr04_47322146",0,0,0
"Chr04_47343781",0,0,0
"Chr04_47414685",0,0,0
"Chr04_47534495",0,0,0
"Chr04_47618487",0,0,0
"Chr04_47863106",0.105713592519961,0,0
"Chr04_47868644",-0.0435357233483553,0,0
"Chr04_47909855",0,0,0
"Chr04_47994491",0,0,0
"Chr04_48158410",0,0,0
"Chr04_48163793",0,0,0
"Chr04_48213080",0,0,0
"Chr04_48327512",0,0,0
"Chr04_48388343",0,0,0
"Chr04_48393092",0,0,0
"Chr04_48438354",0,0,0
"Chr04_48535799",0,0,0
"Chr04_48647008",0,0,0
"Chr04_48653350",0,0,0
"Chr04_49067592",0,0,0
"Chr04_49120627",0,0,0
"Chr04_49132838",0,0,0
"Chr04_49283261",0,0,0
"Chr04_49285055",0,0.32772677840079,0
"Chr04_49294743",0,0,0
"Chr04_49392031",0,0,0.0211342569434838
"Chr04_49424215",0,0,0
"Chr04_49443943",0,0,0
"Chr04_49558102",0,0,0
"Chr04_49798148",0,0,0
"Chr04_50136614",0,0,0
"Chr04_50213494",0,0,0
"Chr04_50338283",0,0,0
"Chr04_50341358",0,0,0
"Chr04_50353796",0,0,0
"Chr04_50417535",0,0,0
"Chr04_50546755",0,0,-0.324818313708025
"Chr04_50607550",0,0,0
"Chr04_50672035",0,0,0
"Chr04_50680784",0,0,0
"Chr04_50881912",0,0,0
"Chr04_51225534",0,0,0
"Chr04_51282917",0,0,0
"Chr04_51459394",0,0,0
"Chr04_51485700",0,0,0
"Chr04_51546112",0,0,0
"Chr04_51746339",0,0,0
"Chr04_51808028",0,0,0
"Chr04_51869645",0,0,0
"Chr04_52030611",0,0,0
"Chr04_52031179",0,0,0
"Chr04_52046736",0,0,0
"Chr04_52067635",0,0,0
"Chr04_52093001",0,0,0
"Chr05_00137207",0,0,0.0407068340461387
"Chr05_00198889",0,0,0
"Chr05_00307215",0,0,0
"Chr05_00397214",0,-0.0942113766108701,0
"Chr05_00578172",0,0,0
"Chr05_00655961",0,0,0
"Chr05_00934616",0,0,-0.138321285962333
"Chr05_01042512",0,0,0
"Chr05_01146872",0,0,0
"Chr05_01252438",0,0,-0.103090673515598
"Chr05_01312337",0,0,0
"Chr05_01314799",0,0,0
"Chr05_01493109",0,0,0
"Chr05_01539344",0,0,0
"Chr05_01585448",0,0,0
"Chr05_01610354",0,0,0
"Chr05_01664082",0,0,0
"Chr05_01684073",0,0,0
"Chr05_01687574",0,0,-0.065207811033455
